GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AMWHE001,NAME_M,AMWHM001
GIS Join Match Code,Data File Year,State Postal Abbreviation,Region Code,Division Code,State Name,State Code,County Name,County Code,County Subdivision Code,Place/Remainder Code,Census Tract Code,Block Group Code,Consolidated City Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only) Code,American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land Code,American Indian Trust Land/ Hawaiian Home Land Indicator,Tribal Subdivision/Remainder Code,Alaska Native Regional Corporation Code,Metropolitan Statistical Area/Micropolitan Statistical Area Code,Combined Statistical Area Code,Metropolitan Division Code,New England City and Town Area Code,Combined New England City and Town Area Code,New England City and Town Area Division Code,Urban Area Code,"Congressional District (2019-2021, 116th Congress) Code",State Legislative District (Upper Chamber) Code,State Legislative District (Lower Chamber) Code,5-Digit ZIP Code Tabulation Area Code,Subminor Civil Division Code,School District (Elementary)/Remainder Code,School District (Secondary)/Remainder Code,School District (Unified)/Remainder Code,Principal City Indicator,Public Use Microdata Area Code,Census Geographic Identifier,Tribal Census Tract Code,Tribal Block Group Code,Estimates: Area Name,Estimates: Median value (dollars),Margins of error: Area Name,Margins of error: Median value (dollars)
G0100010,2016-2020,AL,,,Alabama,1,Autauga County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01001,,,"Autauga County, Alabama",50900,"Autauga County, Alabama",8727
G0100030,2016-2020,AL,,,Alabama,1,Baldwin County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01003,,,"Baldwin County, Alabama",70700,"Baldwin County, Alabama",10431
G0100050,2016-2020,AL,,,Alabama,1,Barbour County,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01005,,,"Barbour County, Alabama",35100,"Barbour County, Alabama",13723
G0100070,2016-2020,AL,,,Alabama,1,Bibb County,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01007,,,"Bibb County, Alabama",50900,"Bibb County, Alabama",10198
G0100090,2016-2020,AL,,,Alabama,1,Blount County,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01009,,,"Blount County, Alabama",45600,"Blount County, Alabama",7170
G0100110,2016-2020,AL,,,Alabama,1,Bullock County,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01011,,,"Bullock County, Alabama",50500,"Bullock County, Alabama",17966
G0100130,2016-2020,AL,,,Alabama,1,Butler County,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01013,,,"Butler County, Alabama",50500,"Butler County, Alabama",13167
G0100150,2016-2020,AL,,,Alabama,1,Calhoun County,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01015,,,"Calhoun County, Alabama",46900,"Calhoun County, Alabama",11935
G0100170,2016-2020,AL,,,Alabama,1,Chambers County,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01017,,,"Chambers County, Alabama",39400,"Chambers County, Alabama",14009
G0100190,2016-2020,AL,,,Alabama,1,Cherokee County,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01019,,,"Cherokee County, Alabama",44600,"Cherokee County, Alabama",10240
G0100210,2016-2020,AL,,,Alabama,1,Chilton County,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01021,,,"Chilton County, Alabama",57300,"Chilton County, Alabama",9357
G0100230,2016-2020,AL,,,Alabama,1,Choctaw County,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01023,,,"Choctaw County, Alabama",25900,"Choctaw County, Alabama",8413
G0100250,2016-2020,AL,,,Alabama,1,Clarke County,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01025,,,"Clarke County, Alabama",21800,"Clarke County, Alabama",8265
G0100270,2016-2020,AL,,,Alabama,1,Clay County,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01027,,,"Clay County, Alabama",62200,"Clay County, Alabama",15811
G0100290,2016-2020,AL,,,Alabama,1,Cleburne County,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01029,,,"Cleburne County, Alabama",57000,"Cleburne County, Alabama",5514
G0100310,2016-2020,AL,,,Alabama,1,Coffee County,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01031,,,"Coffee County, Alabama",43100,"Coffee County, Alabama",5620
G0100330,2016-2020,AL,,,Alabama,1,Colbert County,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01033,,,"Colbert County, Alabama",44600,"Colbert County, Alabama",21258
G0100350,2016-2020,AL,,,Alabama,1,Conecuh County,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01035,,,"Conecuh County, Alabama",19200,"Conecuh County, Alabama",8533
G0100370,2016-2020,AL,,,Alabama,1,Coosa County,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01037,,,"Coosa County, Alabama",51600,"Coosa County, Alabama",13512
G0100390,2016-2020,AL,,,Alabama,1,Covington County,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01039,,,"Covington County, Alabama",43500,"Covington County, Alabama",11905
G0100410,2016-2020,AL,,,Alabama,1,Crenshaw County,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01041,,,"Crenshaw County, Alabama",49000,"Crenshaw County, Alabama",9988
G0100430,2016-2020,AL,,,Alabama,1,Cullman County,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01043,,,"Cullman County, Alabama",46200,"Cullman County, Alabama",4392
G0100450,2016-2020,AL,,,Alabama,1,Dale County,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01045,,,"Dale County, Alabama",41700,"Dale County, Alabama",6881
G0100470,2016-2020,AL,,,Alabama,1,Dallas County,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01047,,,"Dallas County, Alabama",33000,"Dallas County, Alabama",6971
G0100490,2016-2020,AL,,,Alabama,1,DeKalb County,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01049,,,"DeKalb County, Alabama",32900,"DeKalb County, Alabama",4649
G0100510,2016-2020,AL,,,Alabama,1,Elmore County,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01051,,,"Elmore County, Alabama",51900,"Elmore County, Alabama",11391
G0100530,2016-2020,AL,,,Alabama,1,Escambia County,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01053,,,"Escambia County, Alabama",46200,"Escambia County, Alabama",4600
G0100550,2016-2020,AL,,,Alabama,1,Etowah County,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01055,,,"Etowah County, Alabama",39400,"Etowah County, Alabama",9031
G0100570,2016-2020,AL,,,Alabama,1,Fayette County,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01057,,,"Fayette County, Alabama",32800,"Fayette County, Alabama",3961
G0100590,2016-2020,AL,,,Alabama,1,Franklin County,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01059,,,"Franklin County, Alabama",44900,"Franklin County, Alabama",9821
G0100610,2016-2020,AL,,,Alabama,1,Geneva County,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01061,,,"Geneva County, Alabama",56000,"Geneva County, Alabama",6552
G0100630,2016-2020,AL,,,Alabama,1,Greene County,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01063,,,"Greene County, Alabama",52200,"Greene County, Alabama",6443
G0100650,2016-2020,AL,,,Alabama,1,Hale County,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01065,,,"Hale County, Alabama",43100,"Hale County, Alabama",10703
G0100670,2016-2020,AL,,,Alabama,1,Henry County,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01067,,,"Henry County, Alabama",49200,"Henry County, Alabama",14076
G0100690,2016-2020,AL,,,Alabama,1,Houston County,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01069,,,"Houston County, Alabama",41000,"Houston County, Alabama",4064
G0100710,2016-2020,AL,,,Alabama,1,Jackson County,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01071,,,"Jackson County, Alabama",39100,"Jackson County, Alabama",6851
G0100730,2016-2020,AL,,,Alabama,1,Jefferson County,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01073,,,"Jefferson County, Alabama",47200,"Jefferson County, Alabama",8204
G0100750,2016-2020,AL,,,Alabama,1,Lamar County,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01075,,,"Lamar County, Alabama",40600,"Lamar County, Alabama",27509
G0100770,2016-2020,AL,,,Alabama,1,Lauderdale County,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01077,,,"Lauderdale County, Alabama",49900,"Lauderdale County, Alabama",9502
G0100790,2016-2020,AL,,,Alabama,1,Lawrence County,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01079,,,"Lawrence County, Alabama",31400,"Lawrence County, Alabama",7483
G0100810,2016-2020,AL,,,Alabama,1,Lee County,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01081,,,"Lee County, Alabama",34300,"Lee County, Alabama",8353
G0100830,2016-2020,AL,,,Alabama,1,Limestone County,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01083,,,"Limestone County, Alabama",41800,"Limestone County, Alabama",12585
G0100850,2016-2020,AL,,,Alabama,1,Lowndes County,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01085,,,"Lowndes County, Alabama",28900,"Lowndes County, Alabama",3717
G0100870,2016-2020,AL,,,Alabama,1,Macon County,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01087,,,"Macon County, Alabama",50400,"Macon County, Alabama",12297
G0100890,2016-2020,AL,,,Alabama,1,Madison County,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01089,,,"Madison County, Alabama",35600,"Madison County, Alabama",9504
G0100910,2016-2020,AL,,,Alabama,1,Marengo County,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01091,,,"Marengo County, Alabama",43800,"Marengo County, Alabama",15639
G0100930,2016-2020,AL,,,Alabama,1,Marion County,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01093,,,"Marion County, Alabama",30300,"Marion County, Alabama",4553
G0100950,2016-2020,AL,,,Alabama,1,Marshall County,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01095,,,"Marshall County, Alabama",43500,"Marshall County, Alabama",8529
G0100970,2016-2020,AL,,,Alabama,1,Mobile County,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01097,,,"Mobile County, Alabama",39700,"Mobile County, Alabama",6430
G0100990,2016-2020,AL,,,Alabama,1,Monroe County,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01099,,,"Monroe County, Alabama",26900,"Monroe County, Alabama",4230
G0101010,2016-2020,AL,,,Alabama,1,Montgomery County,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01101,,,"Montgomery County, Alabama",46900,"Montgomery County, Alabama",11427
G0101030,2016-2020,AL,,,Alabama,1,Morgan County,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01103,,,"Morgan County, Alabama",40500,"Morgan County, Alabama",9835
G0101050,2016-2020,AL,,,Alabama,1,Perry County,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01105,,,"Perry County, Alabama",27600,"Perry County, Alabama",13484
G0101070,2016-2020,AL,,,Alabama,1,Pickens County,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01107,,,"Pickens County, Alabama",30800,"Pickens County, Alabama",7560
G0101090,2016-2020,AL,,,Alabama,1,Pike County,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01109,,,"Pike County, Alabama",28400,"Pike County, Alabama",10866
G0101110,2016-2020,AL,,,Alabama,1,Randolph County,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01111,,,"Randolph County, Alabama",55000,"Randolph County, Alabama",5058
G0101130,2016-2020,AL,,,Alabama,1,Russell County,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01113,,,"Russell County, Alabama",32200,"Russell County, Alabama",11744
G0101150,2016-2020,AL,,,Alabama,1,St. Clair County,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01115,,,"St. Clair County, Alabama",55200,"St. Clair County, Alabama",3484
G0101170,2016-2020,AL,,,Alabama,1,Shelby County,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01117,,,"Shelby County, Alabama",55000,"Shelby County, Alabama",7656
G0101190,2016-2020,AL,,,Alabama,1,Sumter County,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01119,,,"Sumter County, Alabama",28800,"Sumter County, Alabama",3893
G0101210,2016-2020,AL,,,Alabama,1,Talladega County,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01121,,,"Talladega County, Alabama",46500,"Talladega County, Alabama",8093
G0101230,2016-2020,AL,,,Alabama,1,Tallapoosa County,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01123,,,"Tallapoosa County, Alabama",29600,"Tallapoosa County, Alabama",17184
G0101250,2016-2020,AL,,,Alabama,1,Tuscaloosa County,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01125,,,"Tuscaloosa County, Alabama",34400,"Tuscaloosa County, Alabama",6774
G0101270,2016-2020,AL,,,Alabama,1,Walker County,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01127,,,"Walker County, Alabama",45200,"Walker County, Alabama",7541
G0101290,2016-2020,AL,,,Alabama,1,Washington County,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01129,,,"Washington County, Alabama",18800,"Washington County, Alabama",6578
G0101310,2016-2020,AL,,,Alabama,1,Wilcox County,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01131,,,"Wilcox County, Alabama",18300,"Wilcox County, Alabama",8975
G0101330,2016-2020,AL,,,Alabama,1,Winston County,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01133,,,"Winston County, Alabama",41200,"Winston County, Alabama",7185
G0200130,2016-2020,AK,,,Alaska,2,Aleutians East Borough,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02013,,,"Aleutians East Borough, Alaska",56900,"Aleutians East Borough, Alaska",3514
G0200160,2016-2020,AK,,,Alaska,2,Aleutians West Census Area,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02016,,,"Aleutians West Census Area, Alaska",,"Aleutians West Census Area, Alaska",
G0200200,2016-2020,AK,,,Alaska,2,Anchorage Municipality,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02020,,,"Anchorage Municipality, Alaska",32700,"Anchorage Municipality, Alaska",5304
G0200500,2016-2020,AK,,,Alaska,2,Bethel Census Area,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02050,,,"Bethel Census Area, Alaska",37000,"Bethel Census Area, Alaska",20305
G0200600,2016-2020,AK,,,Alaska,2,Bristol Bay Borough,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02060,,,"Bristol Bay Borough, Alaska",,"Bristol Bay Borough, Alaska",
G0200630,2016-2020,AK,,,Alaska,2,Chugach Census Area,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02063,,,"Chugach Census Area, Alaska",28700,"Chugach Census Area, Alaska",12152
G0200660,2016-2020,AK,,,Alaska,2,Copper River Census Area,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02066,,,"Copper River Census Area, Alaska",54200,"Copper River Census Area, Alaska",2372
G0200680,2016-2020,AK,,,Alaska,2,Denali Borough,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02068,,,"Denali Borough, Alaska",66500,"Denali Borough, Alaska",3504
G0200700,2016-2020,AK,,,Alaska,2,Dillingham Census Area,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02070,,,"Dillingham Census Area, Alaska",,"Dillingham Census Area, Alaska",
G0200900,2016-2020,AK,,,Alaska,2,Fairbanks North Star Borough,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02090,,,"Fairbanks North Star Borough, Alaska",,"Fairbanks North Star Borough, Alaska",
G0201000,2016-2020,AK,,,Alaska,2,Haines Borough,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02100,,,"Haines Borough, Alaska",9999,"Haines Borough, Alaska",
G0201050,2016-2020,AK,,,Alaska,2,Hoonah-Angoon Census Area,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02105,,,"Hoonah-Angoon Census Area, Alaska",70000,"Hoonah-Angoon Census Area, Alaska",58020
G0201100,2016-2020,AK,,,Alaska,2,Juneau City and Borough,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02110,,,"Juneau City and Borough, Alaska",48200,"Juneau City and Borough, Alaska",5977
G0201220,2016-2020,AK,,,Alaska,2,Kenai Peninsula Borough,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02122,,,"Kenai Peninsula Borough, Alaska",51500,"Kenai Peninsula Borough, Alaska",31164
G0201300,2016-2020,AK,,,Alaska,2,Ketchikan Gateway Borough,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02130,,,"Ketchikan Gateway Borough, Alaska",,"Ketchikan Gateway Borough, Alaska",
G0201500,2016-2020,AK,,,Alaska,2,Kodiak Island Borough,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02150,,,"Kodiak Island Borough, Alaska",,"Kodiak Island Borough, Alaska",
G0201580,2016-2020,AK,,,Alaska,2,Kusilvak Census Area,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02158,,,"Kusilvak Census Area, Alaska",9999,"Kusilvak Census Area, Alaska",
G0201640,2016-2020,AK,,,Alaska,2,Lake and Peninsula Borough,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02164,,,"Lake and Peninsula Borough, Alaska",,"Lake and Peninsula Borough, Alaska",
G0201700,2016-2020,AK,,,Alaska,2,Matanuska-Susitna Borough,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02170,,,"Matanuska-Susitna Borough, Alaska",65700,"Matanuska-Susitna Borough, Alaska",4018
G0201800,2016-2020,AK,,,Alaska,2,Nome Census Area,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02180,,,"Nome Census Area, Alaska",,"Nome Census Area, Alaska",
G0201850,2016-2020,AK,,,Alaska,2,North Slope Borough,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02185,,,"North Slope Borough, Alaska",,"North Slope Borough, Alaska",
G0201880,2016-2020,AK,,,Alaska,2,Northwest Arctic Borough,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02188,,,"Northwest Arctic Borough, Alaska",,"Northwest Arctic Borough, Alaska",
G0201950,2016-2020,AK,,,Alaska,2,Petersburg Borough,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02195,,,"Petersburg Borough, Alaska",16700,"Petersburg Borough, Alaska",7685
G0201980,2016-2020,AK,,,Alaska,2,Prince of Wales-Hyder Census Area,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02198,,,"Prince of Wales-Hyder Census Area, Alaska",42500,"Prince of Wales-Hyder Census Area, Alaska",35202
G0202200,2016-2020,AK,,,Alaska,2,Sitka City and Borough,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02220,,,"Sitka City and Borough, Alaska",67800,"Sitka City and Borough, Alaska",23756
G0202300,2016-2020,AK,,,Alaska,2,Skagway Municipality,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02230,,,"Skagway Municipality, Alaska",157500,"Skagway Municipality, Alaska",36188
G0202400,2016-2020,AK,,,Alaska,2,Southeast Fairbanks Census Area,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02240,,,"Southeast Fairbanks Census Area, Alaska",,"Southeast Fairbanks Census Area, Alaska",
G0202750,2016-2020,AK,,,Alaska,2,Wrangell City and Borough,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02275,,,"Wrangell City and Borough, Alaska",14000,"Wrangell City and Borough, Alaska",4873
G0202820,2016-2020,AK,,,Alaska,2,Yakutat City and Borough,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02282,,,"Yakutat City and Borough, Alaska",,"Yakutat City and Borough, Alaska",
G0202900,2016-2020,AK,,,Alaska,2,Yukon-Koyukuk Census Area,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02290,,,"Yukon-Koyukuk Census Area, Alaska",23600,"Yukon-Koyukuk Census Area, Alaska",13356
G0400010,2016-2020,AZ,,,Arizona,4,Apache County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04001,,,"Apache County, Arizona",42800,"Apache County, Arizona",4816
G0400030,2016-2020,AZ,,,Arizona,4,Cochise County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04003,,,"Cochise County, Arizona",82900,"Cochise County, Arizona",4507
G0400050,2016-2020,AZ,,,Arizona,4,Coconino County,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04005,,,"Coconino County, Arizona",59700,"Coconino County, Arizona",6705
G0400070,2016-2020,AZ,,,Arizona,4,Gila County,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04007,,,"Gila County, Arizona",64800,"Gila County, Arizona",12051
G0400090,2016-2020,AZ,,,Arizona,4,Graham County,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04009,,,"Graham County, Arizona",82500,"Graham County, Arizona",9532
G0400110,2016-2020,AZ,,,Arizona,4,Greenlee County,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04011,,,"Greenlee County, Arizona",81100,"Greenlee County, Arizona",29240
G0400120,2016-2020,AZ,,,Arizona,4,La Paz County,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04012,,,"La Paz County, Arizona",53900,"La Paz County, Arizona",7578
G0400130,2016-2020,AZ,,,Arizona,4,Maricopa County,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04013,,,"Maricopa County, Arizona",33000,"Maricopa County, Arizona",2087
G0400150,2016-2020,AZ,,,Arizona,4,Mohave County,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04015,,,"Mohave County, Arizona",70100,"Mohave County, Arizona",3702
G0400170,2016-2020,AZ,,,Arizona,4,Navajo County,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04017,,,"Navajo County, Arizona",71400,"Navajo County, Arizona",9809
G0400190,2016-2020,AZ,,,Arizona,4,Pima County,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04019,,,"Pima County, Arizona",51100,"Pima County, Arizona",5135
G0400210,2016-2020,AZ,,,Arizona,4,Pinal County,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04021,,,"Pinal County, Arizona",56300,"Pinal County, Arizona",4519
G0400230,2016-2020,AZ,,,Arizona,4,Santa Cruz County,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04023,,,"Santa Cruz County, Arizona",9999,"Santa Cruz County, Arizona",
G0400250,2016-2020,AZ,,,Arizona,4,Yavapai County,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04025,,,"Yavapai County, Arizona",111200,"Yavapai County, Arizona",9132
G0400270,2016-2020,AZ,,,Arizona,4,Yuma County,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US04027,,,"Yuma County, Arizona",62500,"Yuma County, Arizona",5449
G0500010,2016-2020,AR,,,Arkansas,5,Arkansas County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05001,,,"Arkansas County, Arkansas",40600,"Arkansas County, Arkansas",9877
G0500030,2016-2020,AR,,,Arkansas,5,Ashley County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05003,,,"Ashley County, Arkansas",39800,"Ashley County, Arkansas",11789
G0500050,2016-2020,AR,,,Arkansas,5,Baxter County,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05005,,,"Baxter County, Arkansas",57000,"Baxter County, Arkansas",7312
G0500070,2016-2020,AR,,,Arkansas,5,Benton County,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05007,,,"Benton County, Arkansas",76700,"Benton County, Arkansas",11255
G0500090,2016-2020,AR,,,Arkansas,5,Boone County,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05009,,,"Boone County, Arkansas",45400,"Boone County, Arkansas",13738
G0500110,2016-2020,AR,,,Arkansas,5,Bradley County,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05011,,,"Bradley County, Arkansas",43600,"Bradley County, Arkansas",9018
G0500130,2016-2020,AR,,,Arkansas,5,Calhoun County,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05013,,,"Calhoun County, Arkansas",54300,"Calhoun County, Arkansas",11161
G0500150,2016-2020,AR,,,Arkansas,5,Carroll County,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05015,,,"Carroll County, Arkansas",54500,"Carroll County, Arkansas",12515
G0500170,2016-2020,AR,,,Arkansas,5,Chicot County,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05017,,,"Chicot County, Arkansas",30200,"Chicot County, Arkansas",7396
G0500190,2016-2020,AR,,,Arkansas,5,Clark County,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05019,,,"Clark County, Arkansas",47000,"Clark County, Arkansas",18191
G0500210,2016-2020,AR,,,Arkansas,5,Clay County,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05021,,,"Clay County, Arkansas",42900,"Clay County, Arkansas",13444
G0500230,2016-2020,AR,,,Arkansas,5,Cleburne County,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05023,,,"Cleburne County, Arkansas",60200,"Cleburne County, Arkansas",15327
G0500250,2016-2020,AR,,,Arkansas,5,Cleveland County,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05025,,,"Cleveland County, Arkansas",50200,"Cleveland County, Arkansas",9322
G0500270,2016-2020,AR,,,Arkansas,5,Columbia County,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05027,,,"Columbia County, Arkansas",22400,"Columbia County, Arkansas",17026
G0500290,2016-2020,AR,,,Arkansas,5,Conway County,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05029,,,"Conway County, Arkansas",46100,"Conway County, Arkansas",13858
G0500310,2016-2020,AR,,,Arkansas,5,Craighead County,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05031,,,"Craighead County, Arkansas",48200,"Craighead County, Arkansas",26911
G0500330,2016-2020,AR,,,Arkansas,5,Crawford County,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05033,,,"Crawford County, Arkansas",39300,"Crawford County, Arkansas",8992
G0500350,2016-2020,AR,,,Arkansas,5,Crittenden County,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US05035,,,"Crittenden County, Arkansas",29200,"Crittenden County, Arkansas",5633
